id;title;defense_date;author_name;supervisor_name;file;file_content_type;status
1;invoice infomediaries;2020-06-06;Avon 24/7;hub Palau viral;../fake-data/blob/hipster.png;image/png;DRAFT
2;engage generate Chicken;2020-06-07;azure Auto Loan Account optical;Aruban Guilder;../fake-data/blob/hipster.png;image/png;DISABLED
3;Metal Rwanda Down-sized;2020-06-07;Rustic Surinam Dollar;teal Distributed invoice;../fake-data/blob/hipster.png;image/png;ARCHIVED
4;Credit Card Account Operations;2020-06-06;Cheese;Executive;../fake-data/blob/hipster.png;image/png;DISABLED
5;Computers;2020-06-07;Response Games Generic Fresh Cheese;Borders Tactics payment;../fake-data/blob/hipster.png;image/png;DISABLED
6;bricks-and-clicks turquoise Gorgeous Soft Tuna;2020-06-07;back up back up;COM indigo;../fake-data/blob/hipster.png;image/png;ARCHIVED
7;Unbranded Frozen Pants payment;2020-06-06;Gorgeous Plastic Keyboard;Savings Account mesh;../fake-data/blob/hipster.png;image/png;DRAFT
8;tertiary stable Tuna;2020-06-07;sky blue;supply-chains visualize;../fake-data/blob/hipster.png;image/png;DISABLED
9;Fantastic calculate Persevering;2020-06-07;Buckinghamshire Senior;pink;../fake-data/blob/hipster.png;image/png;ARCHIVED
10;orchid;2020-06-06;JSON;green Accounts;../fake-data/blob/hipster.png;image/png;ENABLED
